title,date,tel,address,star,link,appointed_store,unknown_store
金家飯捲 KOREA GIMBAP 김가김밥,2022-08-23 01:26:29,0938808065,臺北市中正區金門街2之3號,4.6,https://ifoodie.tw/restaurant/62fb9b707cc7fc67f86391de-%E9%87%91%E5%AE%B6%E9%A3%AF%E6%8D%B2-KOREA-GIMBAP-%EA%B9%80%EA%B0%80,0,0
龍潭豆花,2022-08-23 01:26:32,999,臺北市中正區汀州路三段239號,4.2,https://ifoodie.tw/restaurant/559d4851c03a103ee86c5cd5-%E9%BE%8D%E6%BD%AD%E8%B1%86%E8%8A%B1,0,0
城中市場老牌牛肉拉麵大王,2022-08-23 01:26:35,0223815604,臺北市中正區重慶南路一段46巷7號,4.2,https://ifoodie.tw/restaurant/55a5ff2ac03a102ec1415d9e-%E5%9F%8E%E4%B8%AD%E5%B8%82%E5%A0%B4%E8%80%81%E7%89%8C%E7%89%9B%E8%82%89%E6%8B%89%E9%BA%B5%E5%A4%A7%E7%8E%8B,0,0
有飲 Youin 創意飲品 台北公館店,2022-08-23 01:26:38,0223680899,臺北市中正區汀州路三段221號,4.1,https://ifoodie.tw/restaurant/6226c828a62728640af345d4-%E6%9C%89%E9%A3%B2-Youin-%E5%89%B5%E6%84%8F%E9%A3%B2%E5%93%81-%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
何家甜品鋪-剉冰雪花冰(公館汀州),2022-08-23 01:26:43,0902115871,臺北市中正區汀州路三段124號1樓,4.4,https://ifoodie.tw/restaurant/62abfa1f873d792aed2f2657-%E4%BD%95%E5%AE%B6%E7%94%9C%E5%93%81%E9%8B%AA-%E5%89%89%E5%86%B0%E9%9B%AA%E8%8A%B1%E5%86%B0(%E5%85%AC%E9%A4%A8%E6%B1%80%E5%B7%9E),0,0
明星咖啡館,2022-08-23 01:26:49,0223815589,臺北市中正區武昌街一段5號2樓,4.1,https://ifoodie.tw/restaurant/559d3e78c03a103ee86c5667-%E6%98%8E%E6%98%9F%E5%92%96%E5%95%A1%E9%A4%A8,0,0
辛殿麻辣鍋 公館店,2022-08-23 01:26:53,0277337667,臺北市中正區羅斯福路三段316巷9弄1號,4.4,https://ifoodie.tw/restaurant/5f90fe0902935e35cd626b65-%E8%BE%9B%E6%AE%BF%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
上海鄉村餐廳 濟南店,2022-08-23 01:26:56,0223223333,臺北市中正區濟南路二段37號,4.3,https://ifoodie.tw/restaurant/559d4f4cc03a103ee86c6160-%E4%B8%8A%E6%B5%B7%E9%84%89%E6%9D%91%E9%A4%90%E5%BB%B3-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
小螺波 XIAO LUO BO 公館店,2022-08-23 01:27:00,0223629219,臺北市中正區羅斯福路三段284巷11號一樓,4.3,https://ifoodie.tw/restaurant/616786f9a6272874909a1f19-%E5%B0%8F%E8%9E%BA%E6%B3%A2-XIAO-LUO-BO-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,2022-08-23 01:27:04,0223675033,臺北市中正區汀州路三段96號,4.2,https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
藍家割包,2022-08-23 01:27:07,0223682060,臺北市中正區羅斯福路三段316巷8弄3號,3.9,https://ifoodie.tw/restaurant/559d7bc3c03a103ee86c7e94-%E8%97%8D%E5%AE%B6%E5%89%B2%E5%8C%85,0,0
旨燕,2022-08-23 01:27:11,999,臺北市中正區開封街一段90號,4.2,https://ifoodie.tw/restaurant/61a2da57a627284780e99d63-%E6%97%A8%E7%87%95,0,0
素食地瓜球,2022-08-23 01:27:14,0987074426,臺北市中正區羅斯福路四段108巷8之1號,4.1,https://ifoodie.tw/restaurant/5cb81675f524683336995f38-%E7%B4%A0%E9%A3%9F%E5%9C%B0%E7%93%9C%E7%90%83,0,0
小木斑馬 Brunch & coffee,2022-08-23 01:27:18,0223564445,臺北市中正區羅斯福路二段66巷16號,4.5,https://ifoodie.tw/restaurant/62f80028cd995702534a61e8-%E5%B0%8F%E6%9C%A8%E6%96%91%E9%A6%AC-Brunch-%26-coffee,0,0
雙月食品社 青島店,2022-08-23 01:27:21,0233938953,臺北市中正區青島東路6之2號,4.5,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97,0,0
楽坡BonBox - 台北站前店 / 樂坡舒肥健康餐盒,2022-08-23 01:27:24,0965607276,臺北市中正區信陽街26之1號,4.3,https://ifoodie.tw/restaurant/62f89a9b873d794b7d0baa01-%E6%A5%BD%E5%9D%A1BonBox-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97-%2F-%E6%A8%82%E5%9D%A1%E8%88%92,0,0
海享吃精緻鍋物,2022-08-23 01:27:28,0223331311,臺北市中正區中華路二段307巷8號,4.8,https://ifoodie.tw/restaurant/606e53a1cd995731e299e49f-%E6%B5%B7%E4%BA%AB%E5%90%83%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9,0,0
黃家香腸,2022-08-23 01:27:32,0223097428,臺北市中正區泉州街32之3號,4.5,https://ifoodie.tw/restaurant/559d6be1c03a103ee86c7459-%E9%BB%83%E5%AE%B6%E9%A6%99%E8%85%B8,0,0
Louisa Coffee 路易莎咖啡(忠孝善導寺門市),2022-08-23 01:27:35,0223956613,臺北市中正區忠孝東路一段148號,3.2,https://ifoodie.tw/restaurant/62f617f2baf6d37d4b85ef5e-Louisa-Coffee-%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1(,0,0
如意黑糖挫冰,2022-08-23 01:27:38,0223051199,臺北市中正區中華路二段313巷35號,3.9,https://ifoodie.tw/restaurant/62f6607f873d795e60427a28-%E5%A6%82%E6%84%8F%E9%BB%91%E7%B3%96%E6%8C%AB%E5%86%B0,0,0
YumYum 好吃好吃2號店,2022-08-23 01:27:41,0223629538,臺北市中正區羅斯福路三段316巷16號2樓,3.9,https://ifoodie.tw/restaurant/5dd358658c906d1ce32e9354-YumYum-%E5%A5%BD%E5%90%83%E5%A5%BD%E5%90%832%E8%99%9F%E5%BA%97,0,0
魚君 さかなくん 海鮮公有市場,2022-08-23 01:27:46,0223958300,臺北市中正區金山南路一段35號,4.2,https://ifoodie.tw/restaurant/5ac908f32756dd7b4f128e6e-%E9%AD%9A%E5%90%9B-%E3%81%95%E3%81%8B%E3%81%AA%E3%81%8F%E3%82%93-%E6%B5%B7%E9%AE%AE%E5%85%AC%E6%9C%89%E5%B8%82%E5%A0%B4,0,0
Coppii Lumii living coffee 冉冉生活(城中),2022-08-23 01:27:50,0223818613,臺北市中正區永綏街7號,4.1,https://ifoodie.tw/restaurant/61933a7c873d790429c1f093-Coppii-Lumii-living-,0,0
東石小館,2022-08-23 01:27:53,0223626966,台北市中正區汀州路三段168號,4.6,https://ifoodie.tw/restaurant/61d264b4873d7920225597f1-%E6%9D%B1%E7%9F%B3%E5%B0%8F%E9%A4%A8,0,0
華國早餐店,2022-08-23 01:27:56,0223222685,臺北市中正區青島東路23號,4.4,https://ifoodie.tw/restaurant/62f38fb4873d7915b9eb40ba-%E8%8F%AF%E5%9C%8B%E6%97%A9%E9%A4%90%E5%BA%97,0,0
維都 公館店,2022-08-23 01:28:00,0223650400,臺北市中正區羅斯福路三段244巷13號,4.7,https://ifoodie.tw/restaurant/62c109e88282877424813e4e-%E7%B6%AD%E9%83%BD-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
古北饕,2022-08-23 01:28:03,0223652030,臺北市中正區金門街1之6號,4.2,https://ifoodie.tw/restaurant/5b7a60f8f52468793f552f84-%E5%8F%A4%E5%8C%97%E9%A5%95,0,0
午冬甜點工作室,2022-08-23 01:28:07,0223820515,臺北市大安區樂利路33號,4.7,https://ifoodie.tw/restaurant/5c7a8057f524685bb9126e66-%E5%8D%88%E5%86%AC%E7%94%9C%E9%BB%9E%E5%B7%A5%E4%BD%9C%E5%AE%A4,0,0
酷覓星-誠品站前店 世界美食評鑑伴手禮,2022-08-23 01:28:09,0905561448,台北市中正區忠孝西路一段49號B1,5.0,https://ifoodie.tw/restaurant/62f38433781cc02281fc19c1-%E9%85%B7%E8%A6%93%E6%98%9F-%E8%AA%A0%E5%93%81%E7%AB%99%E5%89%8D%E5%BA%97-%E4%B8%96%E7%95%8C%E7%BE%8E%E9%A3%9F%E8%A9%95%E9%91%91%E4%BC%B4%E6%89%8B%E7%A6%AE,0,0
振頤軒 忠孝新生門市,2022-08-23 01:28:13,0233225818,臺北市中正區忠孝東路二段102號,4.1,https://ifoodie.tw/restaurant/5b2be9bf2756dd0e7cb646c3-%E6%8C%AF%E9%A0%A4%E8%BB%92-%E5%BF%A0%E5%AD%9D%E6%96%B0%E7%94%9F%E9%96%80%E5%B8%82,0,0
廣州餐廳,2022-08-23 01:28:17,0223055039,臺北市中正區中華路二段427號,4.2,https://ifoodie.tw/restaurant/62a327d9baf6d342301c7f50-%E5%BB%A3%E5%B7%9E%E9%A4%90%E5%BB%B3,0,0
肥前屋,2022-08-23 01:28:21,0225617859,中山北路一段121巷13-2號,3.8,https://ifoodie.tw/restaurant/559d2d2dc03a103ee86c4af5-%E8%82%A5%E5%89%8D%E5%B1%8B,0,0
南機場汕頭乾麵,2022-08-23 01:28:26,0916543168,臺北市中正區中華路二段307巷15號,4.1,https://ifoodie.tw/restaurant/55a4bb0fc03a1002ad8adb75-%E5%8D%97%E6%A9%9F%E5%A0%B4%E6%B1%95%E9%A0%AD%E4%B9%BE%E9%BA%B5,0,0
Dicos德克士脆皮炸雞 台北重慶南店,2022-08-23 01:28:29,0223116368,臺北市中正區重慶南路一段100號,4.0,https://ifoodie.tw/restaurant/62f10f397cc7fc49b6eb4fcc-Dicos%E5%BE%B7%E5%85%8B%E5%A3%AB%E8%84%86%E7%9A%AE%E7%82%B8%E9%9B%9E-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97,0,0
饗聚廚房 台北花園大酒店,2022-08-23 01:28:32,0223146611,臺北市中正區中華路二段1號1樓,3.5,https://ifoodie.tw/restaurant/60768fedcd99572ecca50a80-%E9%A5%97%E8%81%9A%E5%BB%9A%E6%88%BF-%E5%8F%B0%E5%8C%97%E8%8A%B1%E5%9C%92%E5%A4%A7%E9%85%92%E5%BA%97,0,0
無名鹹粥,2022-08-23 01:28:35,0937521095,臺北市中正區汀州路一段90號,4.0,https://ifoodie.tw/restaurant/559da0f7c03a103ee86c9281-%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5,0,0
Kakigori Toshihiko,2022-08-23 01:28:38,999,台北市中正區金門街2-2號,4.4,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko,0,0
潮·雞·派,2022-08-23 01:28:41,999,臺北市中正區汀州路二段82號,4.9,https://ifoodie.tw/restaurant/62ee6c4e7cc7fc49b6eb1106-%E6%BD%AE%C2%B7%E9%9B%9E%C2%B7%E6%B4%BE,0,0
Vice Versa Wineshop & Kitchen,2022-08-23 01:28:45,0223660078,臺北市中正區廈門街94號,4.1,https://ifoodie.tw/restaurant/6080e21c781cc00c2d10b7de-Vice-Versa-Wineshop-,0,0
鴉片粉圓,2022-08-23 01:28:49,0223693959,臺北市中正區羅斯福路四段52巷16弄4號,4.0,https://ifoodie.tw/restaurant/59ef803d2756dd291ac66147-%E9%B4%89%E7%89%87%E7%B2%89%E5%9C%93,0,0
雙月食品社 濟南店,2022-08-23 01:28:53,0233938952,臺北市中正區濟南路一段7號1樓,4.8,https://ifoodie.tw/restaurant/5ec1f71e22613912d02802af-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E6%BF%9F%E5%8D%97%E5%BA%97,0,0
欣葉日本料理自助餐聽,2022-08-23 01:28:56,0223713311,臺北市中正區館前路12號6樓,4.4,https://ifoodie.tw/restaurant/559de1b6c03a103ee86cb9d5-%E6%AC%A3%E8%91%89%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E8%87%AA%E5%8A%A9%E9%A4%90%E8%81%BD,0,0
Petit France 小法國餐館,2022-08-23 01:28:59,0233223955,臺北市中正區青島東路21之4號善導寺捷運站,4.7,https://ifoodie.tw/restaurant/5e1342712756dd0e3c6eb051-Petit-France-%E5%B0%8F%E6%B3%95%E5%9C%8B%E9%A4%90%E9%A4%A8,0,0
阜杭豆漿,2022-08-23 01:29:04,0223922175,臺北市中正區忠孝東路一段108號2樓,3.9,https://ifoodie.tw/restaurant/559dbd8ec03a103ee86ca34f-%E9%98%9C%E6%9D%AD%E8%B1%86%E6%BC%BF,0,0
東一排骨總店,2022-08-23 01:29:08,0223811487,臺北市中正區延平南路61號2樓,4.3,https://ifoodie.tw/restaurant/559d4e54c03a103ee86c60d6-%E6%9D%B1%E4%B8%80%E6%8E%92%E9%AA%A8%E7%B8%BD%E5%BA%97,0,0
公館阿姨滷味,2022-08-23 01:29:12,0937067290,臺北市中正區羅斯福路三段286巷12號,4.7,https://ifoodie.tw/restaurant/6109feb2baf6d378ecff544b-%E5%85%AC%E9%A4%A8%E9%98%BF%E5%A7%A8%E6%BB%B7%E5%91%B3,0,0
山內雞肉,2022-08-23 01:29:16,0223050100,臺北市中正區中華路二段307巷20之3號,4.0,https://ifoodie.tw/restaurant/56decdad2756dd53853d469c-%E5%B1%B1%E5%85%A7%E9%9B%9E%E8%82%89,0,0
藍象廷 台北站前店,2022-08-23 01:29:20,0223110809,台北市中正區忠孝西路一段66號號B1,4.8,https://ifoodie.tw/restaurant/626abdf5baf6d35b2fb13ec6-%E8%97%8D%E8%B1%A1%E5%BB%B7-%E5%8F%B0%E5%8C%97%E7%AB%99%E5%89%8D%E5%BA%97,0,0
肉多多火鍋 台北重慶南店,2022-08-23 01:29:25,0223613539,臺北市中正區重慶南路一段58號3樓,4.6,https://ifoodie.tw/restaurant/5cd23c0e23679c4fd3429cee-%E8%82%89%E5%A4%9A%E5%A4%9A%E7%81%AB%E9%8D%8B-%E5%8F%B0%E5%8C%97%E9%87%8D%E6%85%B6%E5%8D%97%E5%BA%97,0,0
和牛涮樂日式涮涮鍋 公館店,2022-08-23 01:29:27,0223620330,臺北市中正區汀州路三段92號,4.6,https://ifoodie.tw/restaurant/5fe16052226139731a906b91-%E5%92%8C%E7%89%9B%E6%B6%AE%E6%A8%82%E6%97%A5%E5%BC%8F%E6%B6%AE%E6%B6%AE%E9%8D%8B-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
早澤,2022-08-23 01:29:32,0223918938,臺北市中正區齊東街68號,4.1,https://ifoodie.tw/restaurant/586e0856699b6e2c5c6a9eb5-%E6%97%A9%E6%BE%A4,0,0
公館活蝦,2022-08-23 01:29:35,0223650020,台北市中正區汀洲路三段210號,4.5,https://ifoodie.tw/restaurant/61a44ad6cd99573c98fa318f-%E5%85%AC%E9%A4%A8%E6%B4%BB%E8%9D%A6,0,0
山海樓,2022-08-23 01:29:39,0223513345,臺北市中正區仁愛路二段94號,4.1,https://ifoodie.tw/restaurant/5ca376c923679c1528e2559e-%E5%B1%B1%E6%B5%B7%E6%A8%93,0,0
池先生 Kopitiam 公館店,2022-08-23 01:29:42,0223676989,臺北市中正區羅斯福路三段284巷10號,4.3,https://ifoodie.tw/restaurant/59dbbacd2756dd1e89198c9f-%E6%B1%A0%E5%85%88%E7%94%9F-Kopitiam-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
上村牧場 微風北車店,2022-08-23 01:29:45,0223115592,臺北市中正區北平西路3號2樓,3.8,https://ifoodie.tw/restaurant/5fb26cce8c906d7b09b87ba4-%E4%B8%8A%E6%9D%91%E7%89%A7%E5%A0%B4-%E5%BE%AE%E9%A2%A8%E5%8C%97%E8%BB%8A%E5%BA%97,0,0
鐘予原味當歸鴨 公館店,2022-08-23 01:29:51,0223679010,臺北市中正區汀州路三段81號,4.4,https://ifoodie.tw/restaurant/61dd2292baf6d30524a2ac37-%E9%90%98%E4%BA%88%E5%8E%9F%E5%91%B3%E7%95%B6%E6%AD%B8%E9%B4%A8-%E5%85%AC%E9%A4%A8%E5%BA%97,0,0
Burger Yellow,2022-08-23 01:29:55,0223888948,臺北市中正區南陽街38巷2號,4.5,https://ifoodie.tw/restaurant/617d51f8781cc0564f5010d9-Burger-Yellow,0,0
大嗑西式餐館,2022-08-23 01:29:59,0223948810,臺北市中正區濟南路二段18之3號,4.6,https://ifoodie.tw/restaurant/559d6308c03a103ee86c6d68-%E5%A4%A7%E5%97%91%E8%A5%BF%E5%BC%8F%E9%A4%90%E9%A4%A8,0,0
貳樓餐廳Second Floor Cafe,2022-08-23 01:30:02,0223610861,臺北市中正區北平西路3號,4.1,https://ifoodie.tw/restaurant/559d7050c03a103ee86c76cf-%E8%B2%B3%E6%A8%93%E9%A4%90%E5%BB%B3Second-Floor-Caf,0,0
大三元酒樓,2022-08-23 01:30:05,0223817180,臺北市中正區衡陽路46號,4.1,https://ifoodie.tw/restaurant/559d9690c03a103ee86c8d5a-%E5%A4%A7%E4%B8%89%E5%85%83%E9%85%92%E6%A8%93,0,0
蘇記餃子館,2022-08-23 01:30:09,0223619366,臺北市中正區延平南路101巷5號,4.0,https://ifoodie.tw/restaurant/559d33b5c03a103ee86c4f99-%E8%98%87%E8%A8%98%E9%A4%83%E5%AD%90%E9%A4%A8,0,0
興鐵板燒,2022-08-23 01:30:11,0988803988,臺北市中正區仁愛路二段7號,4.5,https://ifoodie.tw/restaurant/5ffd1732226139325ef371e8-%E8%88%88%E9%90%B5%E6%9D%BF%E7%87%92,0,0
快樂檸檬Happylemon 公館旗艦店,2022-08-23 01:30:15,0223680618,臺北市中正區羅斯福路四段24巷14號,4.8,https://ifoodie.tw/restaurant/624124faa6272804d57b20c7-%E5%BF%AB%E6%A8%82%E6%AA%B8%E6%AA%ACHappylemon-%E5%85%AC%E9%A4%A8%E6%97%97%E8%89%A6%E5%BA%97,0,0
超能量鱸魚湯,2022-08-23 01:30:18,0223074996,臺北市中正區中華路二段309巷44號,5.0,https://ifoodie.tw/restaurant/62db41aaa627280723be6dba-%E8%B6%85%E8%83%BD%E9%87%8F%E9%B1%B8%E9%AD%9A%E6%B9%AF,0,0
柳州螺螄粉,2022-08-23 01:30:21,0223412974,臺北市中正區南海路28號,3.9,https://ifoodie.tw/restaurant/62d5b304873d790c01e402ce-%E6%9F%B3%E5%B7%9E%E8%9E%BA%E8%9E%84%E7%B2%89,0,0
MKCR 山小孩咖啡,2022-08-23 01:30:25,0223810682,臺北市中正區忠孝西路一段126號,4.2,https://ifoodie.tw/restaurant/5b0069b62756dd43a52f15ee-MKCR-%E5%B1%B1%E5%B0%8F%E5%AD%A9%E5%92%96%E5%95%A1,0,0
魅麗海 中庭餐廳 (德立莊店),2022-08-23 01:30:29,0223712877,臺北市中正區秀山街4號,4.0,https://ifoodie.tw/restaurant/5ba47a24f524687dc59c416f-%E9%AD%85%E9%BA%97%E6%B5%B7-%E4%B8%AD%E5%BA%AD%E9%A4%90%E5%BB%B3-(%E5%BE%B7%E7%AB%8B%E8%8E%8A%E5%BA%97),0,0
青島飯團,2022-08-23 01:30:32,0939187867,臺北市中正區青島西路13號,4.3,https://ifoodie.tw/restaurant/55a53054c03a10241de64ff2-%E9%9D%92%E5%B3%B6%E9%A3%AF%E5%9C%98,0,0
三統漢菓子 台北車站店,2022-08-23 01:30:35,999,臺北市中正區北平西路三號一樓,4.7,https://ifoodie.tw/restaurant/62d5418582828724b3ab2959-%E4%B8%89%E7%B5%B1%E6%BC%A2%E8%8F%93%E5%AD%90-%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E5%BA%97,0,0
太陽蕃茄拉麵,2022-08-23 01:30:39,0223617188,臺北市中正區忠孝西路一段38號B1樓,4.2,https://ifoodie.tw/restaurant/559d3c6fc03a103ee86c54d1-%E5%A4%AA%E9%99%BD%E8%95%83%E8%8C%84%E6%8B%89%E9%BA%B5,0,0
BAC Cake & Sweets,2022-08-23 01:30:43,0223881420,臺北市中正區忠孝西路一段38號,4.1,https://ifoodie.tw/restaurant/559d3c83c03a103ee86c5505-BAC-Cake-%26-Sweets,0,0
文慶雞,2022-08-23 01:30:46,0233222011,臺北市中正區忠孝東路二段33號,4.0,https://ifoodie.tw/restaurant/559de375c03a103ee86cbb3a-%E6%96%87%E6%85%B6%E9%9B%9E,0,0
曉迪筒仔米糕,2022-08-23 01:30:49,0935297218,臺北市中正區中華路二段307巷,4.2,https://ifoodie.tw/restaurant/58f3b20b2756dd059715f6ec-%E6%9B%89%E8%BF%AA%E7%AD%92%E4%BB%94%E7%B1%B3%E7%B3%95,0,0
壹森泰食堂~師大第一腿(公館店）,2022-08-23 01:30:53,0233653399,臺北市中正區汀州路三段283號,4.5,https://ifoodie.tw/restaurant/62a5adae873d792cec9bc0a1-%E5%A3%B9%E6%A3%AE%E6%B3%B0%E9%A3%9F%E5%A0%82~%E5%B8%AB%E5%A4%A7%E7%AC%AC%E4%B8%80%E8%85%BF(%E5%85%AC%E9%A4%A8%E5%BA%97%EF%BC%89,0,0
林家乾麵店,2022-08-23 01:30:56,0223397387,臺北市中正區泉州街11號,4.2,https://ifoodie.tw/restaurant/559db84cc03a103ee86c9f06-%E6%9E%97%E5%AE%B6%E4%B9%BE%E9%BA%B5%E5%BA%97,0,0
油条 黃金牛肉粉,2022-08-23 01:30:59,0223937010,臺北市中正區南海路17號,4.0,https://ifoodie.tw/restaurant/5c6a1b33f524681eee331c3f-%E6%B2%B9%E6%9D%A1-%E9%BB%83%E9%87%91%E7%89%9B%E8%82%89%E7%B2%89,0,0
三味香,2022-08-23 01:31:03,0223310756,臺北市中正區桃源街19號,3.9,https://ifoodie.tw/restaurant/559db4acc03a103ee86c9db8-%E4%B8%89%E5%91%B3%E9%A6%99,0,0
777咖啡,2022-08-23 01:31:06,0225580958,臺北市中正區市民大道100號,4.1,https://ifoodie.tw/restaurant/5c20a7a9f5246825ec6d8dbe-777%E5%92%96%E5%95%A1,0,0
COFFEE TO (國家攝影文化中心門市),2022-08-23 01:31:09,0223116100,臺北市中正區忠孝西路一段70號1樓,4.6,https://ifoodie.tw/restaurant/6194be527cc7fc5d00f4a597-COFFEE-TO-(%E5%9C%8B%E5%AE%B6%E6%94%9D%E5%BD%B1%E6%96%87%E5%8C%96%E4%B8%AD%E5%BF%83%E9%96%80,0,0
焦糖楓漢方無烟撒粉串燒 同安店,2022-08-23 01:31:13,0966782518,臺北市中正區同安街38號,4.5,https://ifoodie.tw/restaurant/5e3251618c906d5297beb578-%E7%84%A6%E7%B3%96%E6%A5%93%E6%BC%A2%E6%96%B9%E7%84%A1%E7%83%9F%E6%92%92%E7%B2%89%E4%B8%B2%E7%87%92-%E5%90%8C%E5%AE%89%E5%BA%97,0,0
ponopono,2022-08-23 01:31:17,0981813188,臺北市中正區和平西路二段85之1號,4.8,https://ifoodie.tw/restaurant/61b74a237cc7fc14993bb45b-ponopono,0,0
桃山 Momoyama,2022-08-23 01:31:21,0223211818,臺北市中正區忠孝東路一段12號2樓,4.1,https://ifoodie.tw/restaurant/5cc85a492756dd37839382f5-%E6%A1%83%E5%B1%B1-Momoyama,0,0
忠青商行,2022-08-23 01:31:24,0223560008,臺北市中正區青島東路6之1號青島會館二館,4.3,https://ifoodie.tw/restaurant/5e844e4a2261392093b21823-%E5%BF%A0%E9%9D%92%E5%95%86%E8%A1%8C,0,0
